"Date","Price"
2017-05-31,0.649999976158142
2017-06-01,0.649999976158142
2017-06-02,0.649999976158142
2017-06-05,0.649999976158142
2017-06-06,0.649999976158142
2017-06-07,0.649999976158142
2017-06-08,0.649999976158142
2017-06-09,0.649999976158142
2017-06-12,0.949999988079071
2017-06-13,1.25
2017-06-14,1.5
2017-06-15,1.51999998092651
2017-06-16,1.04999995231628
2017-06-19,1.05999994277954
2017-06-20,1.05999994277954
2017-06-21,1.05999994277954
2017-06-22,1.14999997615814
2017-06-23,1.05999994277954
2017-06-26,1.05999994277954
2017-06-27,0.200000002980232
2017-06-28,1.20000004768372
2017-06-29,1.35000002384186
2017-06-30,1.37000000476837
2017-07-03,2.40000009536743
2017-07-05,1.1599999666214
2017-07-06,1.04999995231628
2017-07-07,1.10000002384186
